Weather_Station,Weather_Date,Avg_Wind,Avg_Precip,Avg_Snow,Avg_Snow_Depth,Avg_Max_Temp,Avg_Min_Temp,Weather_Week,Weather_Days_Precipitated,Weather_Days_Snowed,Weather_Days_With_Snow_Accumulation,Weather_Days_With_Strong_Wind,Weather_Cold_Days,Weather_Bad_Weather_days,Weather_Bad_Weather_Week
Appleton Airport,19359,3.222,0.018,0.22,5.6,30.8,24.6,0,1,1,5,0,5,5,Yes
Appleton Airport,19364,5.881428571,0,0,1.857142857,44.28571429,24.85714286,1,0,0,3,0,3,5,Yes
Appleton Airport,19371,1.821428571,0,0,0,32.42857143,20.71428571,2,0,0,0,0,7,7,Yes
Appleton Airport,19378,1.66,0.001428571,0,0,32,24.42857143,3,1,0,0,0,7,7,Yes
Appleton Airport,19385,2.717142857,0,0,0,50.57142857,26.57142857,4,0,0,0,0,2,2,No
Appleton Airport,19392,3.322857143,0,0,0,51.85714286,26.57142857,5,0,0,0,0,0,0,No
Appleton Airport,19399,3.93,0,0,0,57,27.57142857,6,0,0,0,0,0,0,No
Appleton Airport,19406,5.528571429,0,0,0,51.28571429,24.71428571,7,0,0,0,0,0,0,No
Appleton Airport,19413,4.442857143,0.004285714,0,0,55.28571429,30.42857143,8,1,0,0,0,0,1,No
Appleton Airport,19420,5.721428571,0.071428571,0,0,52.57142857,27,9,2,0,0,0,1,2,No
Appleton Airport,19427,4.09,0.001428571,0,0,64,36.28571429,10,1,0,0,0,0,1,No
Appleton Airport,19434,8.625714286,0.028571429,0,0,53.71428571,27.28571429,11,3,0,0,0,0,3,No
Appleton Airport,19441,4.185714286,0.008571429,0,0,63.14285714,34.57142857,12,1,0,0,0,0,1,No
Appleton Airport,19448,6.04,0,0,0,75,35,13,0,0,0,0,0,0,No
Appleton Airport,19084,5.367142857,0.002857143,0,0,56.28571429,30.85714286,14,2,0,0,0,0,2,No
Appleton Airport,19091,6.232857143,0.001428571,0,0,67.28571429,35.85714286,15,1,0,0,0,0,1,No
Appleton Airport,19098,4.154285714,0.015714286,0,0,65.42857143,36.57142857,16,2,0,0,0,0,2,No
Appleton Airport,19105,5.017142857,0.095714286,0,0,75.14285714,44.71428571,17,3,0,0,0,0,3,No
Appleton Airport,19112,5.528571429,0.017142857,0,0,64.14285714,39.14285714,18,2,0,0,0,0,2,No
Appleton Airport,19119,5.72,0,0,0,72.28571429,34.42857143,19,0,0,0,0,0,0,No
Appleton Airport,19126,7.094285714,0,0,0,82.57142857,44.57142857,20,0,0,0,0,0,0,No
Appleton Airport,19133,8.407142857,0.005714286,0,0,70.71428571,47,21,2,0,0,0,0,2,No
Appleton Airport,19140,5.654285714,0.002857143,0,0,79,48.14285714,22,1,0,0,0,0,1,No
Appleton Airport,19147,7.287142857,0.078571429,0,0,66,43.85714286,23,3,0,0,0,0,3,No
Appleton Airport,19154,6.968571429,0,0,0,82,50.57142857,24,0,0,0,0,0,0,No
Appleton Airport,19161,8.5,0.008571429,0,0,78,49.57142857,25,1,0,0,0,0,1,No
Appleton Airport,19168,5.24,0.031428571,0,0,80.42857143,49.28571429,26,3,0,0,0,0,3,No
Appleton Airport,19175,5.687142857,0,0,0,86.42857143,49.85714286,27,0,0,0,0,0,0,No
Appleton Airport,19182,5.877142857,0.032857143,0,0,98.42857143,65.85714286,28,2,0,0,0,0,2,No
Appleton Airport,19189,6.102857143,0.004285714,0,0,90.57142857,59,29,1,0,0,0,0,1,No
Appleton Airport,19196,6.742857143,0,0,0,91.14285714,52.85714286,30,0,0,0,0,0,0,No
Appleton Airport,19203,6.741428571,0,0,0,92.28571429,55,31,0,0,0,0,0,0,No
